id,name,aliases,category,usage,source_type,source_company,source_title,source_url,checked_at,source_notes,Ni,Cr,Co,Fe,Mo,Nb,Ti,Al,W,Ta,C,Mn,Si,Cu,V,Sn,Zr,B,P,S,N,O,H,Pd,Ru,Re,Be,Hf,Ni_includes,Nb_includes,Ni_estimated,Ni_estimate_method,Cr_estimated,Cr_estimate_method,Co_estimated,Co_estimate_method,Fe_estimated,Fe_estimate_method,Mo_estimated,Mo_estimate_method,Nb_estimated,Nb_estimate_method,Ti_estimated,Ti_estimate_method,Al_estimated,Al_estimate_method,W_estimated,W_estimate_method,Ta_estimated,Ta_estimate_method,C_estimated,C_estimate_method,Mn_estimated,Mn_estimate_method,Si_estimated,Si_estimate_method,Cu_estimated,Cu_estimate_method,V_estimated,V_estimate_method,Sn_estimated,Sn_estimate_method,Zr_estimated,Zr_estimate_method,B_estimated,B_estimate_method,P_estimated,P_estimate_method,S_estimated,S_estimate_method,N_estimated,N_estimate_method,O_estimated,O_estimate_method,H_estimated,H_estimate_method,Pd_estimated,Pd_estimate_method,Ru_estimated,Ru_estimate_method,Re_estimated,Re_estimate_method,Be_estimated,Be_estimate_method,Hf_estimated,Hf_estimate_method
gray-cast-iron-class-30,Gray Cast Iron Class 30,ASTM A48 Class 30,鋳鉄,鋳物・機械ベース・ポンプハウジング,reference,Reference data,Cast iron composition reference,https://en.wikipedia.org/wiki/Cast_iron,2026-06-14,Public cast iron composition range; Fe balance calculated for search display.,,,,約94.0,,,,,,,3.00-3.40,0.50-0.90,1.60-2.20,,,,,,0.18 max,0.12 max,,,,,,,,,,,,,,,,,1,balance midpoint estimate from listed major elements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gray-cast-iron-class-35,Gray Cast Iron Class 35,ASTM A48 Class 35,鋳鉄,鋳物・工作機械部品・ブレーキ部品,reference,Reference data,Cast iron composition reference,https://en.wikipedia.org/wiki/Cast_iron,2026-06-14,Public cast iron composition range; Fe balance calculated for search display.,,,,約94.2,,,,,,,2.90-3.30,0.60-1.00,1.50-2.10,,,,,,0.15 max,0.12 max,,,,,,,,,,,,,,,,,1,balance midpoint estimate from listed major elements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gray-cast-iron-class-40,Gray Cast Iron Class 40,ASTM A48 Class 40,鋳鉄,鋳物・工作機械部品・ブレーキ部品,reference,Reference data,Cast iron composition reference,https://en.wikipedia.org/wiki/Cast_iron,2026-06-14,Public cast iron composition range; Fe balance calculated for search display.,,,,約94.4,,,,,,,2.80-3.20,0.60-1.00,1.40-2.00,,,,,,0.12 max,0.12 max,,,,,,,,,,,,,,,,,1,balance midpoint estimate from listed major elements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ductile-iron-60-40-18,Ductile Iron 60-40-18,ASTM A536 60-40-18,球状黒鉛鋳鉄,鋳物・配管継手・機械構造鋳物,reference,Reference data,Ductile iron composition reference,https://en.wikipedia.org/wiki/Ductile_iron,2026-06-14,Public cast iron composition range; Fe balance calculated for search display.,,,,約93.6,,,,,,,3.40-3.90,0.10-0.40,2.20-2.80,,,,,,0.05 max,0.02 max,,,,,,,,,,,,,,,,,1,balance midpoint estimate from listed major elements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ductile-iron-65-45-12,Ductile Iron 65-45-12,ASTM A536 65-45-12,球状黒鉛鋳鉄,鋳物・配管継手・機械構造鋳物,reference,Reference data,Ductile iron composition reference,https://en.wikipedia.org/wiki/Ductile_iron,2026-06-14,Public cast iron composition range; Fe balance calculated for search display.,,,,約93.5,,,,,,,3.40-3.90,0.20-0.50,2.20-2.80,,,,,,0.05 max,0.02 max,,,,,,,,,,,,,,,,,1,balance midpoint estimate from listed major elements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ductile-iron-80-55-06,Ductile Iron 80-55-06,ASTM A536 80-55-06,球状黒鉛鋳鉄,鋳物・歯車箱・高強度鋳物,reference,Reference data,Ductile iron composition reference,https://en.wikipedia.org/wiki/Ductile_iron,2026-06-14,Public cast iron composition range; Fe balance calculated for search display.,,,,約93.4,,,,,,,3.40-3.80,0.30-0.70,2.20-2.70,,,,,,0.05 max,0.02 max,,,,,,,,,,,,,,,,,1,balance midpoint estimate from listed major elements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ductile-iron-100-70-03,Ductile Iron 100-70-03,ASTM A536 100-70-03,球状黒鉛鋳鉄,鋳物・高強度機械部品・ギヤケース,reference,Reference data,Ductile iron composition reference,https://en.wikipedia.org/wiki/Ductile_iron,2026-06-14,Public cast iron composition range; Fe balance calculated for search display.,,,,約93.5,,,,,,,3.30-3.70,0.40-0.80,2.10-2.60,,,,,,0.05 max,0.02 max,,,,,,,,,,,,,,,,,1,balance midpoint estimate from listed major elements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
white-cast-iron,White Cast Iron,Chilled iron,鋳鉄,耐摩耗ライナー・粉砕部品・ロール,reference,Reference data,Cast iron composition reference,https://en.wikipedia.org/wiki/Cast_iron,2026-06-14,Public cast iron composition range; Fe balance calculated for search display.,,,,約95.1,,,,,,,2.50-3.60,0.25-0.80,0.50-1.90,,,,,,0.20 max,0.12 max,,,,,,,,,,,,,,,,,1,balance midpoint estimate from listed major elements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maraging-200,Maraging Steel 200,18Ni(200)|C200,マレージング鋼,航空宇宙・高強度金型・シャフト,reference,Reference data,Maraging steel composition reference,https://en.wikipedia.org/wiki/Maraging_steel,2026-06-14,Public maraging steel nominal composition reference; Fe balance calculated for search display.,17-19,,8-9,約69.9,3.0-3.5,,0.15-0.25,0.05-0.15,,,0.03 max,,,,,,,,,,,,,,,,,,,,,,,,,,1,balance midpoint estimate from listed major elements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maraging-250,Maraging Steel 250,18Ni(250)|C250,マレージング鋼,航空宇宙・高強度金型・シャフト,reference,Reference data,Maraging steel composition reference,https://en.wikipedia.org/wiki/Maraging_steel,2026-06-14,Public maraging steel nominal composition reference; Fe balance calculated for search display.,17-19,,7-8.5,約68.8,4.6-5.2,,0.30-0.50,0.05-0.15,,,0.03 max,,,,,,,,,,,,,,,,,,,,,,,,,,1,balance midpoint estimate from listed major elements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maraging-300,Maraging Steel 300,18Ni(300)|C300,マレージング鋼,航空宇宙・高強度金型・シャフト,reference,Reference data,Maraging steel composition reference,https://en.wikipedia.org/wiki/Maraging_steel,2026-06-14,Public maraging steel nominal composition reference; Fe balance calculated for search display.,17-19,,8.5-9.5,約67.3,4.6-5.2,,0.50-0.80,0.05-0.15,,,0.03 max,,,,,,,,,,,,,,,,,,,,,,,,,,1,balance midpoint estimate from listed major elements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maraging-350,Maraging Steel 350,18Ni(350)|C350,マレージング鋼,航空宇宙・高強度金型・シャフト,reference,Reference data,Maraging steel composition reference,https://en.wikipedia.org/wiki/Maraging_steel,2026-06-14,Public maraging steel nominal composition reference; Fe balance calculated for search display.,17-19,,11-13,約64.0,4.0-5.0,,1.20-1.60,0.05-0.15,,,0.03 max,,,,,,,,,,,,,,,,,,,,,,,,,,1,balance midpoint estimate from listed major elements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inconel-706,Inconel 706,Alloy 706|UNS N09706,スーパーアロイ,タービンディスク・高温締結部品,reference,Reference data,Inconel 706 composition reference,https://en.wikipedia.org/wiki/Superalloy,2026-06-14,Public alloy composition reference; balance value calculated for search display and should be replaced with producer data when confirmed.,39-44,14.5-17.5,,約37.3,,2.5-3.3,1.5-2.0,0.40 max,,,0.06 max,0.35 max,0.35 max,,,,,,,,,,,,,,,,,,,,,,,,1,balance midpoint estimate from listed major elements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inconel-713c,Inconel 713C,Alloy 713C,鋳造スーパーアロイ,タービンホイール・高温鋳造部品,reference,Reference data,Nickel superalloy composition reference,https://en.wikipedia.org/wiki/Superalloy,2026-06-14,Public alloy composition reference; balance value calculated for search display and should be replaced with producer data when confirmed.,約73.2,12-14,,,3.8-5.2,1.8-2.8,0.5-1.0,5.5-6.5,,,0.08-0.20,,,,,,0.05-0.15,0.005-0.015,,,,,,,,,,,,,1,balance midpoint estimate from listed major elements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inconel-738lc,Inconel 738LC,IN-738LC,鋳造スーパーアロイ,ガスタービンブレード・高温鋳造部品,reference,Reference data,Nickel superalloy composition reference,https://en.wikipedia.org/wiki/Superalloy,2026-06-14,Public alloy composition reference; balance value calculated for search display and should be replaced with producer data when confirmed.,約61.5,15.7-16.3,8-9,,1.5-2.0,0.6-1.1,3.2-3.7,3.2-3.7,2.4-2.8,1.5-2.0,0.09-0.13,,,,,,0.03-0.08,0.007-0.012,,,,,,,,,,,,,1,balance midpoint estimate from listed major elements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
haynes-556,Haynes 556,Alloy 556|UNS R30556,耐熱耐食合金,燃焼器・高温ダクト・熱処理炉部品,reference,Reference data,Haynes alloy composition reference,https://en.wikipedia.org/wiki/Haynes_International,2026-06-14,Public alloy composition reference; balance value calculated for search display and should be replaced with producer data when confirmed.,20-22,21-23,17-20,約30.8,2.5-3.5,,,,2.0-3.0,,0.05-0.15,1.0-2.0,0.20-0.60,,,,,,,,0.10-0.25,,,,,,,,,,,,,,,,1,balance midpoint estimate from listed major elements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
