id,name,aliases,category,usage,properties,representative_makers,source_type,source_company,source_title,source_url,checked_at,source_notes,Ni,Cr,Co,Fe,Mo,Nb,Ti,Al,W,Ta,C,Mn,Si,Cu,V,Sn,Zr,B,P,S,N,O,H,Pd,Ru,Re,Be,Hf,Ni_includes,Nb_includes,Ni_estimated,Ni_estimate_method,Cr_estimated,Cr_estimate_method,Co_estimated,Co_estimate_method,Fe_estimated,Fe_estimate_method,Mo_estimated,Mo_estimate_method,Nb_estimated,Nb_estimate_method,Ti_estimated,Ti_estimate_method,Al_estimated,Al_estimate_method,W_estimated,W_estimate_method,Ta_estimated,Ta_estimate_method,C_estimated,C_estimate_method,Mn_estimated,Mn_estimate_method,Si_estimated,Si_estimate_method,Cu_estimated,Cu_estimate_method,V_estimated,V_estimate_method,Sn_estimated,Sn_estimate_method,Zr_estimated,Zr_estimate_method,B_estimated,B_estimate_method,P_estimated,P_estimate_method,S_estimated,S_estimate_method,N_estimated,N_estimate_method,O_estimated,O_estimate_method,H_estimated,H_estimate_method,Pd_estimated,Pd_estimate_method,Ru_estimated,Ru_estimate_method,Re_estimated,Re_estimate_method,Be_estimated,Be_estimate_method,Hf_estimated,Hf_estimate_method
haynes-188,Haynes 188,Alloy 188|UNS R30188,コバルト合金,燃焼器・高温ガス部材,,,reference,Reference data,Haynes alloy reference,https://en.wikipedia.org/wiki/Haynes_International,2026-06-14,Reference composition range; official manufacturer data should replace this when confirmed. Balance element shown as a reference midpoint estimate from listed major elements.,20-24,20-24,約39.9,3 max,,,,,13-16,,0.05-0.15,,,,,,,,,,,,,,,,,,,,,,,,1,balance midpoint estimate from listed major elements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
haynes-230,Haynes 230,Alloy 230|UNS N06230,スーパーアロイ,高温炉・ガスタービン部材,,,reference,Reference data,Alloy 230 composition reference,https://en.wikipedia.org/wiki/Alloy_230,2026-06-14,Reference composition table; official manufacturer data should replace this when confirmed.,47-65,20-24,5 max,,1-3,,,0.2-0.5,13-15,,0.05-0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
haynes-282,Haynes 282,Alloy 282|UNS N07208,スーパーアロイ,航空エンジン・高温構造材,,,reference,Reference data,Haynes 282 composition reference,https://arxiv.org/abs/2012.10114,2026-06-14,Reference nominal composition from technical literature; official manufacturer data should replace this when confirmed. Balance element shown as a reference midpoint estimate from listed major elements.,約57.6,18.5-20.5,9-11,1.5 max,8-9,,1.9-2.3,1.38-1.65,,,0.04-0.08,,,,,,,,,,,,,,,,,,,,1,balance midpoint estimate from listed major elements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
waspaloy,Waspaloy,UNS N07001,スーパーアロイ,航空エンジンディスク・シャフト,,,reference,Reference data,Waspaloy composition reference,https://en.wikipedia.org/wiki/Waspaloy,2026-06-14,Reference chemistry table; official manufacturer data should replace this when confirmed. Balance element shown as a reference midpoint estimate from listed major elements.,約57.3,18-21,12-15,2 max,3.5-5,,2.75-3.25,1.2-1.6,,,0.02-0.10,,,,,,,,,,,,,,,,,,,,1,balance midpoint estimate from listed major elements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nimonic-75,Nimonic 75,Alloy 75|UNS N06075,スーパーアロイ,高温板材・熱処理治具,,,reference,Reference data,Nimonic composition reference,https://it.wikipedia.org/wiki/Nimonic,2026-06-14,Reference composition table; official manufacturer data should replace this when confirmed. Balance element shown as a reference midpoint estimate from listed major elements.,約76.9,18-21,,5 max,,,0.2-0.6,,,,0.08-0.15,,,,,,,,,,,,,,,,,,,,1,balance midpoint estimate from listed major elements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nimonic-80a,Nimonic 80A,Alloy 80A|UNS N07080|2.4952,スーパーアロイ,高温ボルト・バルブ部品,,,reference,Reference data,Nimonic composition reference,https://it.wikipedia.org/wiki/Nimonic,2026-06-14,Reference composition table; official manufacturer data should replace this when confirmed. Balance element shown as a reference midpoint estimate from listed major elements.,約75.3,18-21,2 max,3 max,,,1.8-2.7,1-1.8,,,0.10 max,,,,,,,,,,,,,,,,,,,,1,balance midpoint estimate from listed major elements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nimonic-90,Nimonic 90,Alloy 90|UNS N07090|2.4632,スーパーアロイ,タービンブレード・高温ばね,,,reference,Reference data,Nimonic composition reference,https://fr.wikipedia.org/wiki/Nimonic,2026-06-14,Reference composition description; official manufacturer data should replace this when confirmed. Balance element shown as a reference midpoint estimate from listed major elements.,約56.4,18-21,15-21,,,,2-3,1-2,,,0.13 max,,,,,,,,,,,,,,,,,,,,1,balance midpoint estimate from listed major elements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
udimet-500,Udimet 500,Udimet alloy 500,スーパーアロイ,タービンブレード・高温部材,,,reference,Reference data,Typical nickel-base superalloy compositions,https://es.wikipedia.org/wiki/Superaleaci%C3%B3n,2026-06-14,Reference nominal composition; official manufacturer data should replace this when confirmed.,53-55,17-19,17-19,,3.5-4.5,,2.6-3.2,2.6-3.2,,,0.12 max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
udimet-520,Udimet 520,Udimet alloy 520,スーパーアロイ,タービンブレード・高温回転部材,,,unverified,Unverified reference data,Udimet 520 composition placeholder,https://en.wikipedia.org/wiki/Superalloy,2026-06-14,Placeholder range from common secondary references; needs replacement with a verified producer or standards source. Balance element shown as a reference midpoint estimate from listed major elements.,約52.0,18-20,11-13,,5.5-6.5,,2.8-3.4,1.7-2.3,0.8-1.2,,0.08 max,,,,,,,,,,,,,,,,,,,,1,balance midpoint estimate from listed major elements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rene-41,Rene 41,René 41|UNS N07041,スーパーアロイ,航空機高温構造材・ロケット部材,,,reference,Reference data,Rene 41 composition reference,https://en.wikipedia.org/wiki/Ren%C3%A9_41,2026-06-14,Reference chemistry table; official manufacturer data should replace this when confirmed. Balance element shown as a reference midpoint estimate from listed major elements.,約51.7,18-20,10-12,5 max,9-10.5,,3-3.3,1.4-1.8,,,0.06-0.12,,,,,,,,,,,,,,,,,,,,1,balance midpoint estimate from listed major elements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ti-grade-1,Titanium Grade 1,CP Ti Grade 1|UNS R50250,チタン合金,化学装置・熱交換器・耐食部材,,,reference,Reference data,Titanium alloys composition reference,https://en.wikipedia.org/wiki/Titanium_alloys,2026-06-14,Public titanium grade composition reference; verify against current ASTM/JIS before procurement.,,,,0.20 max,,,約99.7,,,,0.08 max,,,,,,,,,,0.03 max,0.18 max,0.015 max,,,,,,,,,,,,,,,,,,,,1,balance midpoint estimate from listed major elements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ti-grade-2,Titanium Grade 2,CP Ti Grade 2|UNS R50400,チタン合金,化学装置・海水熱交換器・医療部材,,,reference,Reference data,Titanium alloys composition reference,https://en.wikipedia.org/wiki/Titanium_alloys,2026-06-14,Public titanium grade composition reference; verify against current ASTM/JIS before procurement.,,,,0.30 max,,,約99.6,,,,0.08 max,,,,,,,,,,0.03 max,0.25 max,0.015 max,,,,,,,,,,,,,,,,,,,,1,balance midpoint estimate from listed major elements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ti-6al-4v,Ti-6Al-4V,Grade 5|Ti64|UNS R56400,チタン合金,航空機構造・医療インプラント・AM造形,,,reference,Reference data,Ti-6Al-4V composition reference,https://en.wikipedia.org/wiki/Ti-6Al-4V,2026-06-14,Chemistry table in wt%; titanium balance shown as reference estimate.,,,,0.30 max,,,約89.7,5.5-6.75,,,0.08 max,,,,3.5-4.5,,,,,,0.05 max,0.20 max,0.015 max,,,,,,,,,,,,,,,,,,,,1,balance midpoint estimate from listed major elements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ti-6al-4v-eli,Ti-6Al-4V ELI,Grade 23|UNS R56401,チタン合金,医療インプラント・低温靭性部材,,,reference,Reference data,Titanium alloys composition reference,https://en.wikipedia.org/wiki/Titanium_alloys,2026-06-14,Public ELI titanium grade reference; titanium balance shown as reference estimate.,,,,0.25 max,,,約89.7,5.5-6.5,,,0.08 max,,,,3.5-4.5,,,,,,0.05 max,0.13 max,0.0125 max,,,,,,,,,,,,,,,,,,,,1,balance midpoint estimate from listed major elements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ti-grade-7,Titanium Grade 7,CP Ti Pd|UNS R52400,チタン合金,還元性酸環境・化学プラント,,,reference,Reference data,Titanium alloys composition reference,https://en.wikipedia.org/wiki/Titanium_alloys,2026-06-14,Public titanium-palladium grade reference; titanium balance shown as reference estimate.,,,,0.30 max,,,約99.4,,,,0.08 max,,,,,,,,,,0.03 max,0.25 max,0.015 max,0.12-0.25,,,,,,,,,,,,,,,,,,,1,balance midpoint estimate from listed major elements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ti-grade-9,Titanium Grade 9,Ti-3Al-2.5V|UNS R56320,チタン合金,航空配管・自転車フレーム・圧力容器,,,reference,Reference data,Titanium alloys composition reference,https://en.wikipedia.org/wiki/Titanium_alloys,2026-06-14,Public titanium grade reference; titanium balance shown as reference estimate.,,,,0.25 max,,,約94.1,2.5-3.5,,,0.08 max,,,,2-3,,,,,,0.03 max,0.15 max,0.015 max,,,,,,,,,,,,,,,,,,,,1,balance midpoint estimate from listed major elements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ti-grade-12,Titanium Grade 12,Ti-0.3Mo-0.8Ni|UNS R53400,チタン合金,化学装置・熱交換器・耐隙間腐食部材,,,reference,Reference data,Titanium alloys composition reference,https://en.wikipedia.org/wiki/Titanium_alloys,2026-06-14,Public titanium grade reference; titanium balance shown as reference estimate.,0.6-0.9,,,0.30 max,0.2-0.4,,約98.6,,,,0.08 max,,,,,,,,,,0.03 max,0.25 max,0.015 max,,,,,,,,,,,,,,,,,,,,1,balance midpoint estimate from listed major elements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ati-425,ATI 425 Titanium Alloy,Grade 38|UNS R54250,チタン合金,防衛・航空・薄板構造材,,,reference,Reference data,ATI 425 Titanium Alloy composition reference,https://en.wikipedia.org/wiki/ATI_425_Titanium_Alloy,2026-06-14,Public ATI 425 composition table; titanium balance shown as reference estimate.,,,,1.2-1.8,,,約91.7,3.5-4.5,,,0.08 max,,,,2.0-3.0,,,,,,0.03 max,0.20-0.30,0.015 max,,,,,,,,,,,,,,,,,,,,1,balance midpoint estimate from listed major elements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stainless-304,Stainless Steel 304,SUS304|AISI 304|UNS S30400,ステンレス鋼,食品設備・建築・一般耐食部材,,,standard,Standards reference,SAE 304 stainless steel composition reference,https://en.wikipedia.org/wiki/SAE_304_stainless_steel,2026-06-14,ASTM-derived public composition table; iron balance shown as reference estimate.,8-11,18-20,,約69.9,,,,,,,0.08 max,2.00 max,1.00 max,,,,,,0.045 max,0.030 max,0.10 max,,,,,,,,,,,,,,,,1,balance midpoint estimate from listed major elements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stainless-304l,Stainless Steel 304L,SUS304L|UNS S30403,ステンレス鋼,溶接構造・タンク・配管,,,standard,Standards reference,SAE 304 stainless steel composition reference,https://en.wikipedia.org/wiki/SAE_304_stainless_steel,2026-06-14,Standards-derived 304L carbon variant; iron balance shown as reference estimate.,8-12,18-20,,約69.4,,,,,,,0.03 max,2.00 max,1.00 max,,,,,,0.045 max,0.030 max,0.10 max,,,,,,,,,,,,,,,,1,balance midpoint estimate from listed major elements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stainless-316,Stainless Steel 316,SUS316|UNS S31600,ステンレス鋼,海水周辺・化学設備・耐孔食部材,,,reference,Reference data,SAE 316L stainless steel composition reference,https://en.wikipedia.org/wiki/SAE_316L_stainless_steel,2026-06-14,Public 316-series composition reference; iron balance shown as reference estimate.,10-14,16-18,,約66.4,2-3,,,,,,0.08 max,2.00 max,1.00 max,,,,,,0.045 max,0.030 max,0.10 max,,,,,,,,,,,,,,,,1,balance midpoint estimate from listed major elements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stainless-316l,Stainless Steel 316L,SUS316L|UNS S31603,ステンレス鋼,溶接配管・医療・化学設備,,,reference,Reference data,SAE 316L stainless steel composition reference,https://en.wikipedia.org/wiki/SAE_316L_stainless_steel,2026-06-14,Public 316L composition reference; iron balance shown as reference estimate.,10-12,16-18,,約66.4,2-3,,,,,,0.03 max,2.00 max,1.00 max,,,,,,0.045 max,0.030 max,0.10 max,,,,,,,,,,,,,,,,1,balance midpoint estimate from listed major elements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stainless-310s,Stainless Steel 310S,SUS310S|UNS S31008,耐熱ステンレス鋼,炉内部品・熱処理治具・高温酸化環境,,,reference,Reference data,SAE 310S stainless steel composition reference,https://en.wikipedia.org/wiki/SAE_310S_stainless_steel,2026-06-14,Public 310S composition table; iron balance shown as reference estimate.,19-22,24-26,,約52.2,,,,,,,0.08 max,2.00 max,1.5 max,,,,,,0.045 max,0.030 max,,,,,,,,,,,,,,,,,1,balance midpoint estimate from listed major elements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stainless-321,Stainless Steel 321,SUS321|UNS S32100,ステンレス鋼,高温配管・溶接熱影響部耐粒界腐食,,,standard,Standards reference,SAE steel grades stainless composition table,https://en.wikipedia.org/wiki/SAE_steel_grades,2026-06-14,Standards-derived public composition table; iron balance shown as reference estimate.,9-12,17-19,,約69.0,,,0.70 max,,,,0.08 max,2.00 max,1.00 max,,,,,,0.045 max,0.030 max,0.10 max,,,,,,,,,,,,,,,,1,balance midpoint estimate from listed major elements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stainless-347,Stainless Steel 347,SUS347|UNS S34700,ステンレス鋼,高温溶接部・ボイラー部材,,,standard,Standards reference,SAE steel grades stainless composition table,https://en.wikipedia.org/wiki/SAE_steel_grades,2026-06-14,Standards-derived public composition table; iron balance shown as reference estimate.,9-13,17-19,,約68.8,,0.10-1.00,,,,,0.08 max,2.00 max,1.00 max,,,,,,0.045 max,0.030 max,0.10 max,,,,,,,,,Ta,,,,,,,1,balance midpoint estimate from listed major elements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stainless-17-4ph,17-4 PH Stainless Steel,SUS630|AISI 630|UNS S17400,析出硬化ステンレス鋼,航空・シャフト・高強度耐食部品,,,reference,Reference data,17-4 stainless steel composition reference,https://en.wikipedia.org/wiki/17-4_stainless_steel,2026-06-14,Public composition table; iron balance shown as reference estimate.,3-5,15-17.5,,約74.4,,0.15-0.45,,,,,0.07 max,1.00 max,1.00 max,3-5,,,,,0.04 max,0.03 max,,,,,,,,,,Ta,,,,,,,1,balance midpoint estimate from listed major elements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stainless-15-5ph,15-5 PH Stainless Steel,UNS S15500|XM-12,析出硬化ステンレス鋼,航空機構造・高強度精密部品,,,reference,Reference data,SAE steel grades stainless composition table,https://en.wikipedia.org/wiki/SAE_steel_grades,2026-06-14,Public stainless composition reference; iron balance shown as reference estimate.,3.5-5.5,14-15.5,,約75.9,,0.15-0.45,,,,,0.07 max,1.00 max,1.00 max,2.5-4.5,,,,,0.04 max,0.03 max,,,,,,,,,,Ta,,,,,,,1,balance midpoint estimate from listed major elements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stainless-904l,Stainless Steel 904L,UNS N08904|1.4539,高耐食ステンレス鋼,硫酸環境・化学プラント,,,standard,Standards reference,SAE steel grades stainless composition table,https://en.wikipedia.org/wiki/SAE_steel_grades,2026-06-14,Standards-derived public composition table; iron balance shown as reference estimate.,23-28,19-23,,約45.4,4-5,,,,,,0.02 max,2.00 max,1.00 max,1-2,,,,,0.045 max,0.035 max,,,,,,,,,,,,,,,,,1,balance midpoint estimate from listed major elements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
duplex-2205,Duplex Stainless Steel 2205,UNS S32205|1.4462,二相ステンレス鋼,海水・化学配管・高強度耐食部材,,,standard,Standards reference,Duplex stainless steel EN composition table,https://en.wikipedia.org/wiki/Duplex_stainless_steel,2026-06-14,EN 10088-derived public composition table; iron balance shown as reference estimate.,4.5-6.5,22-24,,約67.1,3-3.5,,,,,,0.03 max,2.00 max,1.00 max,,,,,,0.030 max,0.020 max,0.14-0.20,,,,,,,,,,,,,,,,1,balance midpoint estimate from listed major elements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
super-duplex-2507,Super Duplex Stainless Steel 2507,UNS S32750|1.4410,二相ステンレス鋼,海洋・油ガス・高塩化物環境,,,standard,Standards reference,Duplex stainless steel EN composition table,https://en.wikipedia.org/wiki/Duplex_stainless_steel,2026-06-14,EN 10088-derived public composition table; iron balance shown as reference estimate.,6-8,24-26,,約62.1,3-5,,,,,,0.03 max,1.20 max,0.80 max,0.50 max,,,,,0.035 max,0.020 max,0.24-0.32,,,,,,,,,,,,,,,,1,balance midpoint estimate from listed major elements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tool-steel-d2,D2 Tool Steel,SKD11|1.2379|X153CrMoV12,工具鋼,冷間金型・せん断刃・耐摩耗部品,,,reference,Reference data,Tool steel D-series composition reference,https://en.wikipedia.org/wiki/Tool_steel,2026-06-14,Public D2 composition table; iron balance shown as reference estimate.,,11-13,,約83.8,0.9-0.9,,,,,,1.5-1.5,0.45-0.45,0.30-0.30,,1.0-1.0,,,,0.030 max,0.030 max,,,,,,,,,,,,,,,,,1,balance midpoint estimate from listed major elements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tool-steel-h13,H13 Tool Steel,SKD61|1.2344|AISI H13,工具鋼,ダイカスト金型・熱間工具,,,reference,Reference data,Tool steel 1.2344 composition reference,https://en.wikipedia.org/wiki/Tool_steel_1.2344,2026-06-14,Public H13 composition table; iron balance shown as reference estimate.,,5.4-5.4,,約90.9,1.35-1.35,,,,,,0.39-0.39,,1.00-1.00,,1.0-1.0,,,,,,,,,,,,,,,,,,,,,,1,balance midpoint estimate from listed major elements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
high-speed-steel-m2,M2 High Speed Steel,SKH51|1.3343|AISI M2,高速度工具鋼,ドリル・タップ・切削工具,,,reference,Reference data,High-speed steel composition reference,https://en.wikipedia.org/wiki/High-speed_steel,2026-06-14,Public HSS composition table; iron balance shown as reference estimate.,,4.0-4.0,,約82.2,5.0-5.0,,,,6.0-6.0,,0.85-0.85,,,,2.0-2.0,,,,,,,,,,,,,,,,,,,,,,1,balance midpoint estimate from listed major elements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
high-speed-steel-m42,M42 High Speed Steel,AISI M42|Co-HSS,高速度工具鋼,難削材切削工具・高温切削,,,reference,Reference data,High-speed steel composition reference,https://en.wikipedia.org/wiki/High-speed_steel,2026-06-14,Public HSS composition table; iron balance shown as reference estimate.,,3.75-3.75,8.0-8.0,約75.0,9.5-9.5,,,,1.5-1.5,,1.10-1.10,,,,1.15-1.15,,,,,,,,,,,,,,,,,,,,,,1,balance midpoint estimate from listed major elements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
high-speed-steel-m35,M35 High Speed Steel,HSSE|Co-HSS,高速度工具鋼,コバルト高速度工具・切削工具,,,reference,Reference data,High-speed steel composition reference,https://en.wikipedia.org/wiki/High-speed_steel,2026-06-14,Public HSS composition table; iron balance shown as reference estimate.,,4.3-4.3,5.0-5.0,約76.2,5.0-5.0,,,,6.4-6.4,,0.92-0.92,,0.35-0.35,,1.8-1.8,,,,,,,,,,,,,,,,,,,,,,1,balance midpoint estimate from listed major elements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
